Dross  n. 1 rubbish. 2 a scum from melted metals. B impurities. [old english]
Bobby  n. (pl. -ies) colloq. Police officer. [sir robert peel, 19th-c. Statesman]
Elide  v. (-ding) omit (a vowel or syllable) in pronunciation. [latin elido elis- crush out]
Brawn  n. 1 muscular strength. 2 muscle; lean flesh. 3 jellied meat made from a pig's head.  brawny adj. (-ier, -iest). [french from germanic]
Synod  n. Church council of delegated clergy and sometimes laity. [greek, = meeting]
Lynch  v. (of a mob) put (a person) to death without a legal trial.  lynching n. [originally us, after lynch, 18th-c. Justice of the peace in virginia]
Mafia  n. 1 organized body of criminals, orig. In sicily, now also in italy and the us. 2 (mafia) group regarded as exerting an intimidating and corrupt power. [italian dial., = bragging]
Tripe  n. 1 first or second stomach of a ruminant, esp. An ox, as food. 2 colloq. Nonsense, rubbish. [french]
Enema  n. 1 introduction of fluid etc. Into the rectum, esp. To flush out its contents. 2 fluid etc. Used for this. [greek hiemi send]
Attar  n. Perfume made from rose-petals. [persian]
Lucre  n. Derog. Financial gain. [latin lucrum gain]
Tabla  n. Pair of small drums played with the hands, esp. In indian music. [arabic, = drum]
Nexus  n. (pl. Same) connected group or series. [latin necto nex- bind]
Trews  n.pl. Close-fitting usu. Tartan trousers. [irish and gaelic: related to *trousers]
Marge  n. Colloq. Margarine. [abbreviation]
Weigh  v. 1 find the weight of. 2 balance in the hands to guess or as if to guess the weight of. 3 (often foll. By out) take a definite weight of (a substance); measure out (a specified weight) (weigh out the flour; weigh out 6 oz). 4 a estimate the relative value, importance, or desirability of. B (foll. By with, against) compare. 5 be equal to (a specified weight). 6 have (esp. A specified) importance; exert an influence. 7 (often foll. By on) be heavy or burdensome (to); be depressing (to).  weigh down 1 bring down by exerting weight. 2 be oppressive to. Weigh in (of a boxer before a contest, or a jockey after a race) be weighed. Weigh in with colloq. Advance (an argument etc.) Boldly. Weigh out (of a jockey) be weighed before a race. Weigh up colloq. Form an estimate of. Weigh one's words carefully choose the way one expresses something. [old english, = carry]
Valve  n. 1 device controlling flow through a pipe etc., esp. Allowing movement in one direction only. 2 structure in an organ etc. Allowing a flow of blood etc. In one direction only. 3 = *thermionic valve. 4 device to vary the effective length of the tube in a trumpet etc. 5 half-shell of an oyster, mussel, etc.  valvular adj. [latin valva leaf of a folding door]
Spunk  n. 1 colloq. Courage, mettle, spirit. 2 coarse slang semen. 3 touchwood. [origin unknown]
Papaw  var. Of *pawpaw.
Mania  n. 1 mental illness marked by excitement and violence. 2 (often foll. By for) excessive enthusiasm; obsession. [greek mainomai be mad]
Drake  n. Male duck. [origin uncertain]
Shank  n. 1 a leg. B lower part of the leg. C shin-bone. 2 shaft or stem, esp. The part of a tool etc. Joining the handle to the working end. [old english]
Apron  n. 1 garment for covering and protecting the front of the clothes. 2 theatr. Part of a stage in front of the curtain. 3 area on an airfield for manoeuvring or loading.  tied to a person's apron-strings dominated by or dependent on that person (usu. A woman). [originally napron, from french nape table-cloth]
Admin  n. Colloq. Administration. [abbreviation]
Pilau  n. (also pilaff, pilaf) middle eastern or indian dish of rice boiled with meat, vegetables, spices, etc. [turkish]
Ducky  n. (pl. -ies) colloq. (esp. As a form of address) dear.
Hokum  n. Esp. Us slang 1 sentimental, sensational, or unreal material in a film or play etc. 2 bunkum; rubbish. [origin unknown]
Chick  n. 1 young bird. 2 slang young woman. [old english: related to *chicken]
Jenny  n. (pl. -ies) 1 hist. = *spinning-jenny. 2 female donkey. [from the name janet]
Tilth  n. 1 tillage, cultivation. 2 tilled soil. [old english: related to *till3]
Divan  n. Low couch or bed without a back or ends. [ultimately from persian divan bench]
Usage  n. 1 use, treatment (damaged by rough usage). 2 customary practice, esp. In the use of a language or as creating a precedent in law.
Henge  n. Prehistoric monument consisting of a circle of stone or wood uprights. [stonehenge in s. England]
Junta  n. (usu. Military) clique taking power in a coup d'état. [spanish: related to *join]
Booty  n. 1 loot, spoil. 2 colloq. Prize or gain. [german]
Vigor  n. (brit. Vigour) 1 physical or mental strength or energy. 2 healthy growth. 3 forcefulness; trenchancy, animation.  vigorous adj. Vigorously adv. [french from latin vigeo be lively]
Levee  n. Us 1 embankment against river floods. 2 natural embankment built up by a river. 3 landing-place. [french levée past part. Of lever raise: related to *levy]
Eject  v. 1 expel, compel to leave. 2 (of a pilot etc.) Cause oneself to be propelled from an aircraft as an emergency measure. 3 cause to be removed, drop out, or pop up automatically from a gun, cassette-player, etc. 4 dispossess (a tenant). 5 emit, send out.  ejection n. [latin ejicio eject- throw out]
Spend  v. (past and past part. Spent) 1 pay out (money). 2 a use or consume (time or energy). B use up (material etc.). 3 (as spent adj.) Having lost its original force or strength; exhausted.  spend a penny colloq. Go to the lavatory.  spender n. [latin: related to *expend]
Abate  v. (-ting) make or become less strong etc.; diminish.  abatement n. [french abatre from latin batt(u)o beat]
Judas  n. Traitor. [judas iscariot who betrayed christ]
Locus  n. (pl. Loci) 1 position or locality. 2 line or curve etc. Formed by all the points satisfying certain conditions, or by the defined motion of a point, line, or surface. [latin, = place]
Theta  n. Eighth letter of the greek alphabet (q, q). [greek]
Krone  n. (pl. Kroner) chief monetary unit of denmark and norway. [danish and norwegian, = *crown]
Navel  n. Depression in the centre of the belly marking the site of attachment of the umbilical cord. [old english]
Swarf  n. Fine chips or filings of stone, metal, etc. [old norse]
Topaz  n. Transparent mineral, usu. Yellow, used as a gem. [greek topazos]
Opine  v. (-ning) (often foll. By that) literary hold or express as an opinion. [latin opinor believe]
Prise  v. (also prize) (-sing or -zing) force open or out by leverage. [french: related to *prize2]
Unity  n. (pl. -ies) 1 a oneness; being one; interconnected parts constituting a whole (national unity). B such a complex whole (person regarded as a unity). 2 a being united; solidarity. B harmony (lived together in unity). 3 the number ‘one’. [latin unus one]
Fakir  n. Muslim or (rarely) hindu religious beggar or ascetic. [arabic, = poor man]
Renew  v. 1 revive; make new again; restore to the original state. 2 reinforce; resupply; replace. 3 repeat or re-establish, resume after an interruption (renewed our acquaintance). 4 (also absol.) Grant or be granted continuation of (a licence, subscription, lease, etc.). 5 recover (strength etc.).  renewable adj. Renewal n.
Xenon  n. Heavy inert gaseous element. [greek, neuter of xenos strange]
Trier  n. 1 person who perseveres. 2 tester, esp. Of foodstuffs.
Fetus  n. (brit. Foetus) (pl. -tuses) unborn mammalian offspring, esp. A human embryo of eight weeks or more.  foetal adj. [latin fetus offspring]
Unsex  v. Deprive (a person, esp. A woman) of the qualities of her or his sex.
Frock  n. 1 woman's or girl's dress. 2 monk's or priest's gown. 3 smock. [french from germanic]
Peter  v.  peter out diminish, come to an end. [origin unknown]
Hotel  n. (usu. Licensed) establishment providing accommodation and meals for payment. [french: related to *hostel]
Forum  n. 1 place of or meeting for public discussion. 2 court or tribunal. 3 hist. Public square in an ancient roman city used for judicial and other business. [latin]
Ileum  n. (pl. Ilea) third and last portion of the small intestine. [latin ilium]
Promo  n. (pl. -s) colloq. 1 (often attrib.) Promotion, advertising (promo video). 2 promotional video, trailer, etc. [abbreviation]
Pipit  n. Small bird resembling a lark. [imitative]
Gaffe  n. Blunder; indiscreet act or remark. [french]
Ambit  n. Scope, extent, or bounds. [latin: related to *ambience]
Baccy  n. (pl. -ies) colloq. Tobacco. [abbreviation]
Throe  n. (usu. In pl.) Violent pang, esp. Of childbirth or death.  in the throes of struggling with the task of. [old english, alteration of original throwe, perhaps by association with woe]
Sperm  n. (pl. Same or -s) 1 = *spermatozoon. 2 semen. [greek sperma -mat-]
Allah  n. The muslim and arab name of god. [arabic]
Cryer  var. Of *crier.
Proxy  n. (pl. -ies) (also attrib.) 1 authorization given to a substitute or deputy (proxy vote; married by proxy). 2 person authorized to act thus. 3 a written authorization for esp. Proxy voting. B proxy vote. [obsolete procuracy procuration]
Eider  n. Any of various large northern ducks. [icelandic]
Preen  v. 1 (of a bird) tidy (the feathers or itself) with its beak. 2 (of a person) smarten or admire (oneself, one's hair, clothes, etc.). 3 (often foll. By on) congratulate or pride (oneself). [origin unknown]
Nevus  n. (brit. Naevus) (pl. Naevi) 1 raised red birthmark. 2 = *mole2. [latin]
Odium  n. Widespread dislike or disapproval of a person or action. [latin, = hatred]
To-do  n. (pl. -s) commotion or fuss.
Arbor  n. (brit. Arbour) shady garden alcove enclosed by trees etc. [latin herba herb: assimilated to latin arbor tree]
Halva  n. Confection of sesame flour and honey etc. [yiddish from turkish helva from arabic halwa]
Bison  n. (pl. Same) wild hump-backed ox of europe or n. America. [latin from germanic]
Dingo  n. (pl. -es) wild australian dog. [aboriginal]
Calix  var. Of *calyx.
Kiosk  n. 1 light open-fronted booth selling food, newspapers, tickets, etc. 2 telephone box. [turkish from persian]
Anvil  n. Iron block on which metals are worked. [old english]
Shawl  n. Large usu. Rectangular piece of fabric worn over the shoulders or head, or wrapped round a baby. [urdu from persian shal]
Robin  n. 1 (also robin redbreast) small brown red-breasted bird. 2 us red-breasted thrush. [pet form of robert]
Hippo  n. (pl. -s) colloq. Hippopotamus. [abbreviation]
Unfix  v. Release, loosen, or detach.
Coven  n. Assembly of witches. [related to *convent]
Porch  n. Covered entrance to a building. [latin porticus]
Wrick  var. Of *rick2.
Koran  n. Islamic sacred book. [arabic, = recitation]
Basic  n. Computer programming language using familiar english words. [beginner's all-purpose symbolic instruction code]
Dowry  n. (pl. -ies) property or money brought by a bride to her husband. [anglo-french, = french douaire *dower]
Midge  n. Gnatlike insect. [old english]
Padre  n. Chaplain in the army etc. [italian, spanish, and portuguese, = father, priest]
Unsay  v. (past and past part. Unsaid) retract (a statement).
Savoy  n. Cabbage with wrinkled leaves. [savoy in se france]
Futon  n. Japanese quilted mattress used as a bed; this sold with a low wooden frame, often convertible into a couch. [japanese]
Specs  n.pl. Colloq. Spectacles. [abbreviation]
Ethyl  n. (attrib.) A radical derived from ethane, present in alcohol and ether. [german: related to *ether]
Extol  v. (-ll-) praise enthusiastically. [latin tollo raise]
Filly  n. (pl. -ies) 1 young female horse. 2 colloq. Girl or young woman. [old norse]
Primp  v. 1 make (the hair, clothes, etc.) Tidy. 2 refl. Make (oneself) smart. [var. Of *prim]
Admit  v. (-tt-) 1 (often foll. By to be, or that + clause) acknowledge; recognize as true. 2 (foll. By to) confess to (a deed, fault, etc.). 3 allow (a person) entrance, access, etc. 4 take (a patient) into hospital. 5 (of an enclosed space) accommodate. 6 (foll. By of) allow as possible. [latin mitto miss- send]
Glebe  n. Piece of land as part of a clergyman's benefice and providing income. [latin gl(a)eba clod, soil]
Thief  n. (pl. Thieves) person who steals, esp. Secretly. [old english]
Dolma  n. (pl. -s or dolmades) e. European delicacy of spiced rice or meat etc. Wrapped in vine or cabbage leaves. [modern greek]
Twerp  n. (also twirp) slang stupid or objectionable person. [origin unknown]
Skiff  n. Light rowing- or sculling-boat. [french esquif: related to *ship]
Actor  n. Person who acts in a play, film, etc. [latin: related to *act]
Micky  var. Of *mickey.
Corps  n. (pl. Corps) 1 a body of troops with special duties (intelligence corps). B main subdivision of an army in the field. 2 body of people engaged in a special activity (diplomatic corps). [french: related to *corpse]
Bowel  n. 1 (often in pl.) = *intestine. 2 (in pl.) Innermost parts. [latin botulus sausage]
Dixie  n. Large iron cooking-pot used by campers etc. [hindustani from persian]
Ninny  n. (pl. -ies) foolish person. [origin uncertain]
Wrack  n. 1 seaweed cast up or growing on the shore. 2 destruction. [low german or dutch wrak: cf. *wreck]
Dryer  var. Of *drier2.
Capon  n. Castrated cock fattened for eating. [latin capo]
Mumps  n.pl. (treated as sing.) Infectious disease with swelling of the neck and face. [imitative of mouth-shape]
Scope  n. 1 range or opportunity (beyond the scope of our research). 2 extent of mental ability, outlook, etc. (intellect limited in its scope). [greek, = target]
Minim  n. 1 mus. Note equal to two crotchets or half a semibreve. 2 one-sixtieth of a fluid drachm, about a drop. [latin minimus least]
Finch  n. Small seed-eating bird, esp. A crossbill, canary, or chaffinch. [old english]
Frank  n. Member of the germanic people that conquered gaul in the 6th c.  frankish adj. [old english]
Topee  var. Of *topi.
Sinus  n. Cavity of bone or tissue, esp. In the skull connecting with the nostrils. [latin, = bosom, recess]
Child  n. (pl. Children) 1 a young human being below the age of puberty. B unborn or newborn human being. 2 one's son or daughter. 3 (foll. By of) descendant, follower, or product of. 4 childish person.  childless adj.  [old english]
Amine  n. Compound formed from ammonia by replacement of one or more hydrogen atoms by an organic radical or radicals.
Coley  n. (pl. -s) any of several fish used as food, e.g. The rock-salmon. [origin uncertain]
Posit  v. (-t-) assume as a fact, postulate. [latin: related to *position]
Yearn  v. Be filled with longing, compassion, or tenderness.  yearning n. & adj. [old english]
Helot  n. Serf, esp. (helot) of a class in ancient sparta. [latin from greek]
Sepia  n. 1 dark reddish-brown colour or paint. 2 brown tint used in photography. [greek, = cuttlefish]
Cloth  n. 1 woven or felted material. 2 piece of this, esp. For a particular purpose; tablecloth, dishcloth, etc. 3 fabric for clothes. 4 a status, esp. Of the clergy, as shown by clothes. B (prec. By the) the clergy. [old english]
Clomp  var. Of *clump v. 2.
Venue  n. Place for a match, meeting, concert, etc. [french, from venir come]
Chuff  v. (of an engine etc.) Work with a regular sharp puffing sound. [imitative]
Rayon  n. Textile fibre or fabric made from cellulose. [from *ray1]
Latex  n. (pl. -xes) 1 milky fluid of esp. The rubber tree. 2 synthetic product resembling this. [latin, = liquid]
Vulva  n. (pl. -s)  external female genitals. [latin]
Fiend  n. 1 evil spirit, demon. 2 a wicked or cruel person. B mischievous or annoying person. 3 slang devotee (fitness fiend). 4 difficult or unpleasant thing.  fiendish adj. Fiendishly adv. [old english]
Woman  n. (pl. Women) 1 adult human female. 2 the female sex. 3 colloq. Wife or girlfriend. 4 (prec. By the) feminine characteristics (brought out the woman in him). 5 (attrib.) Female (woman doctor). 6 (in comb.) Woman of a specified nationality, skill, etc. (englishwoman; horsewoman). 7 colloq. Charwoman. [old english]
Gully  n. (pl. -ies) 1 water-worn ravine. 2 gutter or drain. 3 cricket fielding position between point and slips. [french goulet: related to *gullet]
Dregs  n.pl. 1 sediment; grounds, lees. 2 = *scum n. 2 (dregs of humanity). [old norse]
Solve  v. (-ving) answer, remove, or effectively deal with (a problem).  solvable adj.
Lough  n. Ir. Lake, arm of the sea. [irish: related to *loch]
Henge  n. Prehistoric monument consisting of a circle of stone or wood uprights. [stonehenge in s. England]
Sepal  n. Division or leaf of a calyx. [perhaps from *separate, *petal]
Arson  n. Crime of deliberately setting fire to property.  arsonist n. [latin ardeo ars- burn]
Titan  n. (often titan) person of very great strength, intellect, or importance. [greek, = member of a race of giants]
Quaff  v. Literary 1 drink deeply. 2 drain (a cup etc.) In long draughts.  quaffable adj. [perhaps imitative]
Chyle  n. Milky fluid of food materials formed in the intestine after digestion. [greek khulos juice]
Bongo  n. (pl. -s or -es) either of a pair of small drums usu. Held between the knees and played with the fingers. [american spanish]
Would  v.aux. (3rd sing. Would) past of *will1, used esp.: 1 in reported speech (he said he would be home by evening). 2 to express a condition (they would have been killed if they had gone). 3 to express habitual action (would wait every evening). 4 to express a question or polite request (would they like it?; would you come in, please?). 5 to express probability (she would be over fifty by now). 6 to express consent (they would not help).
Copse  n. = *coppice. [shortened form]
Gavel  n. Hammer used for calling attention by an auctioneer, chairman, or judge. [origin unknown]
Visor  n. (also vizor) 1 movable part of a helmet covering the face. 2 shield for the eyes, esp. One at the top of a vehicle windscreen. [anglo-french viser: related to *visage]
Taxon  n. (pl. Taxa) any taxonomic group. [back-formation from *taxonomy]
Genus  n. (pl. Genera) 1 taxonomic category of animals or plants with common structural characteristics, usu. Containing several species. 2 (in logic) kind of things including subordinate kinds or species. 3 colloq. Kind, class. [latin genus -eris]
Grail  n. (in full holy grail) (in medieval legend) cup or platter used by christ at the last supper. [medieval latin gradalis dish]
Laird  n. Scot. Landed proprietor. [from *lord]
Quell  v. 1 crush or put down (a rebellion etc.). 2 suppress (fear etc.). [old english]
Oasis  n. (pl. Oases) 1 fertile place in a desert. 2 area or period of calm in the midst of turbulence. [latin from greek]
Meths  n. Colloq. Methylated spirit. [abbreviation]
Laity  n. Lay people, as distinct from the clergy. [from *lay2]
Ulcer  n. 1 open sore on or in the body, often forming pus. 2 corrupting influence etc.  ulcerous adj. [latin ulcus -cer-]
Brunt  n. Chief impact of an attack, task, etc. (esp. Bear the brunt of). [origin unknown]
Stead  n.  in a person's (or thing's) stead as a substitute; in a person's or thing's place. Stand a person in good stead be advantageous or useful to him or her. [old english, = place]
Hydro  n. (pl. -s) colloq. 1 hotel or clinic etc., orig. Providing hydropathic treatment. 2 hydroelectric power plant. [abbreviation]
Alter  v. Make or become different; change.  alteration n. [latin alter other]
Gland  n. 1 organ or similar structure secreting substances for use in the body or for ejection. 2 bot. Similar organ in a plant. [latin glandulae pl.]
Ergot  n. Disease of rye etc. Caused by a fungus. [french]
Deify  v. (-ies, -ied) make a god or idol of.  deification n. [latin deus god]
Humus  n. Organic constituent of soil formed by the decomposition of vegetation. [latin, = soil]
Suite  n. 1 set, esp. Of rooms in a hotel etc. Or a sofa and armchairs. 2 mus. Set of instrumental pieces performed as a unit. [french: related to *suit]
Dairy  n. (pl. -ies) 1 place for processing, distributing, or selling milk and its products. 2 (attrib.) Of, containing, or used for, dairy products (and sometimes eggs) (dairy cow). [old english]
Wrest  v. 1 wrench away from a person's grasp. 2 (foll. By from) obtain by effort or with difficulty. [old english]
Trunk  n. 1 main stem of a tree. 2 body without the limbs and head. 3 large box with a hinged lid for luggage, storage, etc. 4 us boot of a car. 5 elephant's elongated prehensile nose. 6 (in pl.) Men's close-fitting shorts worn for swimming etc. [latin truncus cut short]
Ingot  n. (usu. Oblong) piece of cast metal, esp. Gold. [origin uncertain]
Enrol  v. (us enroll) (-ll-) 1 enlist. 2 a write the name of (a person) on a list. B incorporate as a member. C enrol oneself, esp. For a course of study.  enrolment n. [french: related to *en-1]
Élite  n. 1 (prec. By the) the best (of a group). 2 select group or class. 3 a size of letters in typewriting (12 per inch). [french: related to *elect]
Fixer  n. 1 person or thing that fixes. 2 photog. Substance for fixing a photographic image etc. 3 colloq. Person who makes esp. Illicit deals.
Fugue  n. Piece of music in which a short melody or phrase is introduced by one part and taken up and developed by others.  fugal adj. [latin fuga flight]
Canon  n. 1 a general law, rule, principle, or criterion. B church decree or law. 2 member of a cathedral chapter. 3 body of (esp. Sacred) writings accepted as genuine. 4 the part of the roman catholic mass containing the words of consecration. 5 mus. Piece with different parts taking up the same theme successively. [greek kanon rule]
River  n. 1 copious natural stream of water flowing to the sea or a lake etc. 2 copious flow (rivers of blood).  sell down the river colloq. Betray or let down. [latin ripa bank]
Sherd  n. = *potsherd. [old english]
Snood  n. Ornamental hairnet, worn usu. At the back of the head. [old english]
Deism  n. Reasoned belief in the existence of a god.  deist n. Deistic adj. [latin deus god]
Wrest  v. 1 wrench away from a person's grasp. 2 (foll. By from) obtain by effort or with difficulty. [old english]
Phlox  n. (pl. Same or -es) plant with scented clusters of esp. White, blue, or red flowers. [greek phlox, name of a plant (literally ‘flame’)]
Ravel  v. (-ll-; us -l-) 1 entangle or become entangled. 2 fray out. 3 (often foll. By out) disentangle, unravel, separate into threads. [probably dutch ravelen]
Saver  n. 1 person who saves esp. Money. 2 (often in comb.) Thing that saves (time etc.). 3 cheap (esp. Off-peak) fare.
Tabor  n. Hist. Small drum, esp. Used to accompany a pipe. [french]
Evict  v. Expel (a tenant etc.) By legal process.  eviction n. [latin evinco evict- conquer]
Anion  n. Negatively charged ion.  anionic adj. [greek ana up, *ion]
Cinch  n. Colloq. 1 sure thing; certainty. 2 easy task. [spanish cincha saddle-girth]
Crime  n. 1 a offence punishable by law. B illegal acts (resorted to crime). 2 evil act (crime against humanity). 3 colloq. Shameful act. [latin crimen]
Dunce  n. Person slow at learning; dullard. [duns scotus, name of a philosopher]
Exert  v. 1 bring to bear, use (a quality, force, influence, etc.). 2 refl. (often foll. By for, or to + infin.) Use one's efforts or endeavours; strive.  exertion n. [latin exsero exsert- put forth]
Tongs  n.pl. Implement with two arms for grasping coal, sugar, etc. [old english]
Larch  n. 1 deciduous coniferous tree with bright foliage. 2 its wood. [latin larix -icis]
Heron  n. Long-legged wading bird with a long s-shaped neck. [french from germanic]
Octet  n. (also octette) 1 a musical composition for eight performers. B the performers. 2 group of eight. [italian or german: related to *octa-]
Daisy  n. (pl. -ies) 1 small wild plant with white-petalled flowers. 2 plant with similar flowers. [old english, = day's eye]
Cuvée  n. Blend or batch of wine. [french, = vatful]
Realm  n. 1 formal kingdom. 2 domain (realm of myth). [latin *regimen]
Jetty  n. (pl. -ies) 1 pier or breakwater to protect or defend a harbour, coast, etc. 2 landing-pier. [french jetee: related to *jet1]
Pigmy  var. Of *pygmy.
Pecan  n. 1 pinkish-brown smooth nut with an edible kernel. 2 type of hickory producing this. [algonquian]
Mango  n. (pl. -es or -s) 1 tropical fruit with yellowish flesh. 2 tree bearing this. [tamil mankay]
